Date,Open,High,Low,Close,Adj Close,Volume,News,trend_1d,log_returns,volatility_5d,DistRoBERTa_sentiment_scores,FinBERT_sentiment_scores,DeBERTa_sentiment_scores,DistRoBERTa_sentiment_vector,FinBERT_sentiment_vector,DeBERTa_sentiment_vector,DistRoBERTa_adjusted_score,FinBERT_adjusted_score,DeBERTa_adjusted_score,volatility_1d,DistRoBERTa_raw_score,FinBERT_raw_score,DeBERTa_raw_score,DistRoBERTa_predictions,FinBERT_predictions,DeBERTa_predictions
2006-12-01,29.23,29.299999,28.9,29.120001,29.120001,72257000,,0.0072115038732312,,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)","(1.0, 0, 0)","(1.0, 0, 0)",0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0
2006-12-04,29.23,29.52,29.17,29.33,29.33,55123400,"The Retooling of a Search Engine : Ask.com is introducing AskCity, a service that integrates maps with information about local businesses, restaurants, listings and reviews.What’s Wrong With My Voting Machine? : To the long list of recent Election Day horrors, from butterfly ballots to six-hour lines, add ""vote flipping.""",-0.0068189907944083,0.0071856253202155,,"[{'label': 'neutral', 'score': 0.9998788833618164}, {'label': 'negative', 'score': 6.200081406859681e-05}, {'label': 'positive', 'score': 5.907166632823646e-05}]","[{'label': 'neutral', 'score': 0.9340791702270508}, {'label': 'positive', 'score': 0.039083026349544525}, {'label': 'negative', 'score': 0.026837849989533424}]","[{'label': 'neutral', 'score': 0.9619867205619812}, {'label': 'positive', 'score': 0.036703113466501236}, {'label': 'negative', 'score': 0.001310243853367865}]","(0.9998788833618164, 5.907166632823646e-05, 6.200081406859681e-05)","(0.9340791702270508, 0.039083026349544525, 0.026837849989533424)","(0.9619867205619812, 0.036703113466501236, 0.001310243853367865)",-0.024193340474727428,0.18575566709740704,0.93106402876533,,-6.200081406859681e-05,0.039083026349544525,0.036703113466501236,0,0,0
2006-12-05,29.360001,29.4,29.030001,29.129999,29.129999,45606000,,-0.0048060077173364,-0.0068423463468875,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)","(1.0, 0, 0)","(1.0, 0, 0)",0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0
2006-12-06,29.1,29.129999,28.870001,28.99,28.99,48564100,"Combat as Usual? Not With These Games : A few developers have gone beyond creating games just like the ones that made money last year and the year before.Duking It Out for a Houseful of Smiles : Microsoft and Sony are duking it out for dominance at the top end of the video game business.Combat as Usual? Not With These Games : THIS year, thousands of people lined up to buy the latest gaming consoles as dozens of politicians lined up to bemoan what they said were the harmful effects of violent video games on children.     The new consoles, Nintendo's Wii and Sony's PlayS...Yes, It’s a Spoof, but It’s Also Selling Something : Advertising agencies have turned to spoofing their own industry to attract viewers long enough to deliver a new message.Spam Doubles, Finding New Ways to Deliver Itself : The surge has left the antispam industry scrambling to develop new techniques to keep up.2 Hired to Overhaul Marketing Leave Their Posts at Wal-Mart : The departures coincide with slowing sales growth and several marketing stumbles at Wal-Mart, like designer-inspired fashions that have failed to sell.A Capacitor to Set Off the Blue in Your Eyes : Folks who are seeking up-to-the-nanosecond styles can choose from a growing list of jewelry laden with technology. The DVD Tackles the 21st Century : Comparing two new high-definition discs. And the winner is ...Surprising Skills : With no one looking, gadgets learned to connect the dots.",-0.0048292514660226,-0.004817593708908,,"[{'label': 'neutral', 'score': 0.9485511779785156}, {'label': 'positive', 'score': 0.049657631665468216}, {'label': 'negative', 'score': 0.0017912453040480614}]","[{'label': 'neutral', 'score': 0.8649855256080627}, {'label': 'negative', 'score': 0.07223014533519745}, {'label': 'positive', 'score': 0.06278431415557861}]","[{'label': 'neutral', 'score': 0.7991216778755188}, {'label': 'negative', 'score': 0.11654549092054367}, {'label': 'positive', 'score': 0.08433285355567932}]","(0.9485511779785156, 0.049657631665468216, 0.0017912453040480614)","(0.8649855256080627, 0.06278431415557861, 0.07223014533519745)","(0.7991216778755188, 0.08433285355567932, 0.11654549092054367)",0.9303679532165733,-0.06996162644538201,-0.1603589349009057,,0.049657631665468216,-0.07223014533519745,-0.11654549092054367,0,0,0
2006-12-07,28.959999,29.07,28.809999,28.85,28.85,46831100,Vista Is Ready. Are You? : Why it might be a better idea to wait until you need a new PC to get the latest version of Windows. ,0.019064124783362,-0.0048409499794554,,"[{'label': 'neutral', 'score': 0.9996312856674194}, {'label': 'positive', 'score': 0.00027950029470957816}, {'label': 'negative', 'score': 8.928536408348009e-05}]","[{'label': 'neutral', 'score': 0.8993193507194519}, {'label': 'positive', 'score': 0.07643935084342957}, {'label': 'negative', 'score': 0.024241294711828232}]","[{'label': 'neutral', 'score': 0.9977413415908813}, {'label': 'positive', 'score': 0.0018606827361509204}, {'label': 'negative', 'score': 0.0003979611792601645}]","(0.9996312856674194, 0.00027950029470957816, 8.928536408348009e-05)","(0.8993193507194519, 0.07643935084342957, 0.024241294711828232)","(0.9977413415908813, 0.0018606827361509204, 0.0003979611792601645)",0.5157872224441243,0.5184517425740266,0.64761051837803,,0.00027950029470957816,0.07643935084342957,0.0018606827361509204,0,0,0
2006-12-08,28.82,29.4,28.799999,29.4,29.4,108854900,,0.0047619387755102,0.0188846813905272,0.1745133690542797,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)","(1.0, 0, 0)","(1.0, 0, 0)",0.0,0.0,0.0,,0.0,0.0,0.0,1,1,1
2006-12-11,29.190001,29.75,29.110001,29.540001,29.540001,107712000,,-0.0037237981136155,0.0047506366110007,0.1706936744250137,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)","(1.0, 0, 0)","(1.0, 0, 0)",0.0,0.0,0.0,,0.0,0.0,0.0,1,1,1
2006-12-12,29.559999,29.629999,29.219999,29.43,29.43,68529400,"Take the Hotel Room Home : Hotels have become miniature malls, putting a price tag on nearly whatever you see, hear, taste, touch and smell during your stay. Google to Issue Transferable Stock Options : The move will enable Google's employees to earn more money from stock options.",0.0040774379884471,-0.0037307487102553,0.1624261661632525,"[{'label': 'positive', 'score': 0.9976125955581665}, {'label': 'neutral', 'score': 0.002189978491514921}, {'label': 'negative', 'score': 0.00019740620336961}]","[{'label': 'neutral', 'score': 0.8172120451927185}, {'label': 'positive', 'score': 0.16951221227645874}, {'label': 'negative', 'score': 0.013275702483952045}]","[{'label': 'positive', 'score': 0.9340341091156006}, {'label': 'neutral', 'score': 0.06492488831281662}, {'label': 'negative', 'score': 0.0010410426184535027}]","(0.002189978491514921, 0.9976125955581665, 0.00019740620336961)","(0.8172120451927185, 0.16951221227645874, 0.013275702483952045)","(0.06492488831281662, 0.9340341091156006, 0.0010410426184535027)",0.9996043210570728,0.8547420106919742,0.997773349839266,,0.9976125955581665,0.16951221227645874,0.9340341091156006,0,0,0
2006-12-13,29.6,29.6,29.32,29.549999,29.549999,46002500,Google to Offer Variation on Stock Options : Google said that it would grant employees transferable stock options that could be sold as well as exercised.,0.0175973271606539,0.0040691477657776,0.150577558472378,"[{'label': 'neutral', 'score': 0.9998835325241089}, {'label': 'positive', 'score': 5.9326732298359275e-05}, {'label': 'negative', 'score': 5.705118383048102e-05}]","[{'label': 'neutral', 'score': 0.9009678363800049}, {'label': 'positive', 'score': 0.08623024821281433}, {'label': 'negative', 'score': 0.012801890261471272}]","[{'label': 'neutral', 'score': 0.9976192116737366}, {'label': 'positive', 'score': 0.002215218497440219}, {'label': 'negative', 'score': 0.0001655925007071346}]","(0.9998835325241089, 5.9326732298359275e-05, 5.705118383048102e-05)","(0.9009678363800049, 0.08623024821281433, 0.012801890261471272)","(0.9976192116737366, 0.002215218497440219, 0.0001655925007071346)",0.019553095153886632,0.7414598844637618,0.8608940391858139,,5.9326732298359275e-05,0.08623024821281433,0.002215218497440219,1,0,0
2006-12-14,29.540001,30.08,29.52,30.07,30.07,85866500,,0.0039907216494845,0.0174442869892785,0.1528594613205597,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)","(1.0, 0, 0)","(1.0, 0, 0)",0.0,0.0,0.0,,0.0,0.0,0.0,1,1,1
